Job ID,partition,nodes,taskspernode,threadspertask,error_code,internal_runtime[s],total_runtime[s],scale,edgefactor,bfs_harmonic_mean_teps,sssp_harmonic_mean_teps,bfs_harmonic_mean_cut_teps,sssp_harmonic_mean_cut_teps,mpi_modules,prep_commands
17916,cn-ib,1,1,128,0,0.01,2.76,14,8,60860100.0,18711400.0,0.0,0.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17917,cn-ib,1,1,128,0,0.0,4.42,14,16,63656700.0,21287000.0,0.0,0.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17918,cn-ib,1,1,128,0,0.01,5.52,14,32,65812600.0,22543300.0,0.0,0.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17919,cn-ib,1,1,128,0,0.01,6.4,16,8,53714600.0,16534500.0,0.0,0.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17920,cn-ib,1,1,128,0,0.0,10.34,16,16,57983900.0,18413600.0,0.0,0.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17921,cn-ib,1,1,128,0,0.0,19.06,16,32,63206800.0,17443700.0,0.0,0.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17922,cn-ib,1,1,128,0,0.01,120.15,20,8,40042500.0,7875170.0,0.0,0.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17923,cn-ib,1,1,128,0,0.0,227.4,20,16,46198400.0,8089760.0,0.0,0.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17924,cn-ib,1,1,128,0,0.02,433.58,20,32,52418700.0,8424990.0,0.0,0.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17925,cn-ib,2,1,128,0,0.0,2.82,14,8,43890700.0,18838500.0,21985600.0,9436520.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17926,cn-ib,2,1,128,0,0.02,3.54,14,16,42338500.0,20649900.0,21274400.0,10376200.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17927,cn-ib,2,1,128,0,0.0,5.34,14,32,41450900.0,21432000.0,20772400.0,10740200.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17928,cn-ib,2,1,128,0,0.0,5.73,16,8,38282300.0,18764700.0,19187500.0,9405050.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17929,cn-ib,2,1,128,0,0.02,9.71,16,16,38629100.0,18573400.0,19345800.0,9301750.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17930,cn-ib,2,1,128,0,0.0,17.7,16,32,39665400.0,18080100.0,19847000.0,9046550.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17931,cn-ib,2,1,128,0,0.01,93.62,20,8,31366600.0,10560500.0,15672800.0,5276690.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17932,cn-ib,2,1,128,0,0.01,178.28,20,16,33425500.0,10549600.0,16707200.0,5273030.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
17933,cn-ib,2,1,128,0,0.03,346.52,20,32,35249200.0,10645100.0,17624700.0,5322590.0,GCC/14.1.0 OpenMPI/5.0.3,CFLAGS="-DBENCHPIN"
