JOBID,NAME,STATE,TIME,PARTITION,NODES,CPUS,MIN_MEMORY,NODELIST
29990297,b880-3,COMPLETI,1:43:07,boost_usr_pr,1,16,0,lrdn0496
29881376,011_p_22,PENDING,0:00,boost_usr_pr,32,1024,15400M,
29705502_[,main_train,PENDING,0:00,boost_usr_pr,1,32,200G,
29705963_[,main_train,PENDING,0:00,boost_usr_pr,1,32,200G,
29705912_[,main_train,PENDING,0:00,boost_usr_pr,1,32,200G,
29942326,NEP,PENDING,0:00,boost_usr_pr,1,1,0,
29942324,NEP,PENDING,0:00,boost_usr_pr,1,1,0,
29942331,NEP,PENDING,0:00,boost_usr_pr,1,1,0,
29950165_[,ft_mixdpoEXT_7B,PENDING,0:00,boost_usr_pr,8,64,15400M,
29950257,NEP,PENDING,0:00,boost_usr_pr,1,1,15400M,
29950277,NEP,PENDING,0:00,boost_usr_pr,1,1,15400M,
29950261,NEP,PENDING,0:00,boost_usr_pr,1,1,15400M,
29950302,NEP,PENDING,0:00,boost_usr_pr,1,1,15400M,
29950298,NEP,PENDING,0:00,boost_usr_pr,1,1,15400M,
29950323,NEP,PENDING,0:00,boost_usr_pr,1,1,15400M,
29950321,NEP,PENDING,0:00,boost_usr_pr,1,1,15400M,
29950305,NEP,PENDING,0:00,boost_usr_pr,1,1,15400M,
29950347,NEP,PENDING,0:00,boost_usr_pr,1,1,15400M,
29952850,NEP,PENDING,0:00,boost_usr_pr,1,1,15400M,
29952847,NEP,PENDING,0:00,boost_usr_pr,1,1,15400M,
29952875,NEP,PENDING,0:00,boost_usr_pr,1,1,15400M,
29953570,NEP,PENDING,0:00,boost_usr_pr,1,1,15400M,
29953593,NEP,PENDING,0:00,boost_usr_pr,1,1,15400M,
29953592,NEP,PENDING,0:00,boost_usr_pr,1,1,15400M,
29995370,job_serial.gpu,PENDING,0:00,boost_usr_pr,1,1,15400M,
29962053_[,llama_roberta_a,PENDING,0:00,boost_usr_pr,1,4,15400M,
29960415,dppc_315,PENDING,0:00,boost_usr_pr,1,8,15400M,
29960414,dppc_315,PENDING,0:00,boost_usr_pr,1,8,15400M,
29960413,dppc_315,PENDING,0:00,boost_usr_pr,1,8,15400M,
29960412,dppc_315,PENDING,0:00,boost_usr_pr,1,8,15400M,
29960411,dppc_315,PENDING,0:00,boost_usr_pr,1,8,15400M,
29960410,dppc_315,PENDING,0:00,boost_usr_pr,1,8,15400M,
29960409,dppc_315,PENDING,0:00,boost_usr_pr,1,8,15400M,
29960407,dppc_315,PENDING,0:00,boost_usr_pr,1,8,15400M,
29960394,dppc_315,PENDING,0:00,boost_usr_pr,1,8,15400M,
29960393,dppc_315,PENDING,0:00,boost_usr_pr,1,8,15400M,
29960392,dppc_315,PENDING,0:00,boost_usr_pr,1,8,15400M,
29960391,dppc_315,PENDING,0:00,boost_usr_pr,1,8,15400M,
29960390,dppc_315,PENDING,0:00,boost_usr_pr,1,8,15400M,
29960389,dppc_315,PENDING,0:00,boost_usr_pr,1,8,15400M,
29960388,dppc_315,PENDING,0:00,boost_usr_pr,1,8,15400M,
29960387,dppc_315,PENDING,0:00,boost_usr_pr,1,8,15400M,
29958018,chol10,PENDING,0:00,boost_usr_pr,1,8,15400M,
29958017,chol10,PENDING,0:00,boost_usr_pr,1,8,15400M,
29958016,chol10,PENDING,0:00,boost_usr_pr,1,8,15400M,
29958015,chol10,PENDING,0:00,boost_usr_pr,1,8,15400M,
29958014,chol10,PENDING,0:00,boost_usr_pr,1,8,15400M,
29958013,chol10,PENDING,0:00,boost_usr_pr,1,8,15400M,
29958012,chol10,PENDING,0:00,boost_usr_pr,1,8,15400M,
29958011,chol10,PENDING,0:00,boost_usr_pr,1,8,15400M,
29956862,chol25,PENDING,0:00,boost_usr_pr,1,8,15400M,
29956861,chol25,PENDING,0:00,boost_usr_pr,1,8,15400M,
29956860,chol25,PENDING,0:00,boost_usr_pr,1,8,15400M,
29956859,chol25,PENDING,0:00,boost_usr_pr,1,8,15400M,
29956858,chol25,PENDING,0:00,boost_usr_pr,1,8,15400M,
29956857,chol25,PENDING,0:00,boost_usr_pr,1,8,15400M,
29956856,chol25,PENDING,0:00,boost_usr_pr,1,8,15400M,
